station,lat,lon,r,g,b,rgb,gid
GOERE2,51.846944444444446,3.9166666666666665,0.9990000000000001,0.11100000000000002,0.11100000000000002,[[0.999 0.111 0.111]],2
GOERE6,51.86972222222222,3.8736111111111113,0.7200000000000001,0.08000000000000002,0.08000000000000002,[[0.72 0.08 0.08]],2
NOORDWK10,52.30222222222222,4.3025,0.66,0.33,0.66,[[0.66 0.33 0.66]],3
NOORDWK2,52.26138888888889,4.4061111111111115,0.84,0.42,0.84,[[0.84 0.42 0.84]],3
NOORDWK20,52.34166666666667,4.175000000000001,0.54,0.27,0.54,[[0.54 0.27 0.54]],3
NOORDWK70,52.56944444444445,3.531388888888889,0.36,0.18,0.36,[[0.36 0.18 0.36]],3
ROTTMPT50,53.95388888888889,6.31,0.33,0.77,0.33,[[0.33 0.77 0.33]],4
ROTTMPT70,54.11805555555556,6.214166666666667,0.21,0.48999999999999994,0.21,[[0.21 0.49 0.21]],4
SCHOUWN10,51.72,3.495277777777778,1.0,0.5,0.0,[[1.  0.5 0. ]],1
TERSLG10,53.461111111111116,5.100833333333333,0.284,0.71,0.9939999999999999,[[0.284 0.71  0.994]],4
TERSLG100,54.14944444444444,4.341944444444444,0.2,0.5,0.7,[[0.2 0.5 0.7]],4
TERSLG135,54.41555555555556,4.041111111111111,0.16000000000000003,0.4,0.5599999999999999,[[0.16 0.4  0.56]],4
TERSLG175,54.719166666666666,3.691666666666667,0.12,0.3,0.42,[[0.12 0.3  0.42]],4
TERSLG235,55.17222222222222,3.1574999999999998,0.06,0.15,0.21,[[0.06 0.15 0.21]],4
TERSLG50,53.7675,4.766944444444444,0.24,0.6,0.84,[[0.24 0.6  0.84]],4
WALCRN2,51.54888888888889,3.410833333333333,0.72,0.36,0.12,[[0.72 0.36 0.12]],1
WALCRN20,51.65861111111111,3.220555555555556,0.54,0.27,0.09000000000000001,[[0.54 0.27 0.09]],1
WALCRN70,51.956944444444446,2.6791666666666667,0.36,0.18,0.06,[[0.36 0.18 0.06]],1
